Month,Year,CD,75% CD,130% CD,Connected Load,MD Avg,Avg_Consumption (kWh),Units_kWh,PF Avg,Z1 (kWh),Z2 (kWh),Z3 (kWh),Z1 kVArh (lag),Z2 kVArh (lag),Z3 kVArh (lag),Z1 kVArh (lead),Z2 kVArh (lead),Z3 kVArh (lead),Z1 (kVAh),Z2 (kVAh),Z3 (kVAh),Z1 (Demand kVA),Z2 (Demand kVA),Z3 (Demand kVA),Max_demand,Energy Charge,PF incentive/penalty,Z1/Consumption,Z2/Consumption,Z3/Consumption
November,2021,670,502.5,871,1436,504.87,254871,258056,1,132144,49448,76464,8488,3952,6488,80,20,20,132656,49696,76840,514.3,508.13,461.6,514.3,1653743.4,37095.55,0.518474052,0.194011873,0.300010594
December,2021,670,502.5,871,1436,505.57,264227,284352,1,153088,49440,81824,11000,4784,7256,24,8,80,153568,49696,82192,509.18,484.58,471.54,509.18,1802752.4,40875.6,0.579380608,0.187111839,0.309673122
January,2022,670,502.5,871,1436,505.34,270707,278984,1,148576,47312,83096,2504,928,1632,2512,984,1648,148720,47368,83216,516.59,502.26,470.5,516.59,1814811,0,0.548844322,0.174771986,0.306959185
February,2022,670,502.5,871,1436,509.56,272721,271048,1,138040,48896,84112,10424,3184,7800,6,1,2,138536,49048,84544,517.6,514,477.5,517.6,1729563.8,38963.15,0.506158308,0.179289457,0.30841776
March,2022,670,502.5,871,1436,514.54,277393,298664,1,157352,51849,89464,11880,3496,8152,40,8,32,157888,51984,89888,64.83,64.019,58.951,64.83,1888178.05,42932.95,0.567252959,0.186915315,0.322517151
April,2022,670,502.5,871,1436,514.92,281749,299392,1,160432,49576,89384,8104,2976,5448,1592,560,1136,160896,49800,89744,513.1,511.47,472.12,513.1,1890310.4,43037.6,0.569414621,0.175958034,0.317246911
May,2022,670,502.5,871,1436,515.34,282532,262752,1,146192,43680,72880,12840,4568,6816,2,1,2,146856,43936,73264,516,495.6,467,516,1681677.4,37770.6,0.517435193,0.154601957,0.257953081
June,2022,670,502.5,871,1436,512.89,242923,256808,1,130392,45448,80968,10856,4520,7016,264,32,32,131048,45760,81360,500,479,482,500,1670442.48,29859.79,0.536762678,0.18708809,0.333307262
July,2022,670,502.5,871,1436,509.77,234395,227816,1,111680,40584,75552,5568,1824,3344,1496,464,1016,112384,40736,75928,62.23,60.6,59.569,62.23,1586531.05,27793.55,0.476460675,0.173143625,0.322327695
August,2022,670,502.5,871,1436,505.65,230045,244952,0.99,109208,45680,90064,7472,3360,6376,208,96,40,109768,45872,90360,492.08,492.96,474.64,492.96,1683641.02,37355.18,0.47472451,0.198569845,0.39150601
September,2022,670,502.5,871,1436,504.95,225967,274192,0.99,134064,47608,92520,9888,3520,7832,112,40,16,134552,47768,92896,514.47,485.77,473.17,514.47,1865490.92,41814.28,0.593290171,0.210685631,0.409440317
October,2022,670,502.5,871,1436,502.89,226848,304680,0.99,149408,55120,100152,11696,4896,8896,56,8,0,149968,55352,100568,500.72,500.16,474.72,500.72,2046339.3,46463.7,0.65862604,0.242982085,0.441493864
November,2022,670,502.5,871,1436,501.5,233447,302344,1,154640,52096,95608,11648,4296,8488,72,8,16,155160,52296,96024,508.56,498,479.68,508.56,2034493.94,46107.46,0.662420164,0.223159861,0.409549063
December,2022,670,502.5,871,1436,505.27,279913,325496,1,165096,57344,103056,12128,4776,9080,32,0,8,165640,57552,103488,517.04,483.04,474.16,517.04,2178204.46,49638.14,0.589811834,0.204863654,0.368171539
January,2023,670,502.5,871,1436,504.25,291908,299784,1,152736,52960,94088,6400,2408,4456,712,480,696,153008,53072,94296,491.76,477.68,474.08,491.76,2016608.34,45717.06,0.523233347,0.181427025,0.322320731
February,2023,670,502.5,871,1436,504.29,298419,284016,1,139408,49480,95128,1600,272,792,2744,1184,2200,139512,49488,95160,493.2,480.72,476.32,493.2,1989731.04,0,0.467155241,0.165807137,0.318773268
March,2023,670,502.5,871,1436,502.73,307143,326536,1,166808,55368,104688,7168,2816,6680,1440,608,1392,167096,55946,104688,498.08,505.12,493.6,505.12,2276167.98,49796.74,0.543095561,0.180267823,0.340844493
April,2023,670,502.5,871,1436,522.91,315603,355440,1,173824,63056,118560,11744,4456,9240,120,16,16,174368,63256,118984,609.52,620.72,621.76,621.76,2505844.2,54202.6,0.550767895,0.199795312,0.375661828
May,2023,670,502.5,871,1436,546.37,321336,336744,1,161552,63216,111976,14624,4408,7848,80,16,16,162408,63432,112312,625.84,649.36,628.64,649.36,2431001.82,51353.46,0.502751015,0.196728658,0.348470137
June,2023,670,502.5,871,1436,,,,,,,,,,,,,,,,,,,,0,,0,#DIV/0!,#DIV/0!,#DIV/0!
July,2023,670,502.5,871,1436,592.56,325344,312488,1,154928,55920,101640,7968,2608,4712,192,56,192,155352,56072,101688,621.2,627.52,619.44,627.52,2265936.14,47654.42,0.476197502,0.171879611,0.31240779
August,2023,670,502.5,871,1436,619.66,339313,367832,1,183584,68304,115944,9048,2384,5824,120,80,104,183920,68400,116208,626.59,655.82,622.15,655.82,2634793.46,56094.38,0.541046173,0.201300864,0.341702204
September,2023,670,502.5,871,1436,,,,,,,,,,,,,,,,,,,,0,,0,#DIV/0!,#DIV/0!,#DIV/0!
October,2023,670,502.5,871,1436,643.24,333697,297184,1,143624,53728,99832,6904,2176,4056,1544,624,1856,143952,53832,99976,620.53,641.22,616.82,641.22,2172027.52,45320.56,0.430402431,0.16100834,0.299169606
November,2023,670,502.5,871,1436,643.54,334636,342376,1,178008,60728,103640,7920,1680,4392,152,192,128,178264,60792,103848,651.12,647.76,627.12,651.12,2495518.55,52640.31,0.531945158,0.181474796,0.309709655
December,2023,670,502.5,871,1436,639.65,341571,325496,1,187896,69120,121432,7776,2824,4232,208,128,72,188136,69208,121552,635.07,632.74,625.4,635.07,2724182.9,58186.38,0.550093538,0.2023591,0.355510275
January,2024,670,502.5,871,1436,640.92,345661,337032,1,164352,61800,110880,2240,712,824,2504,1984,3000,164520,61848,110928,631.27,635.14,632.66,635.14,2506021.02,0,0.475471633,0.178787888,0.320776715
February,2024,670,502.5,871,1436,637.44,344175,284016,1,175224,62472,121216,2680,728,1096,2208,1984,2968,175328,62504,121248,632.08,634.94,630.97,634.94,2652015.32,0,0.509113097,0.181512312,0.352192925
March,2024,670,502.5,871,1436,640.03,348948,379736,1,186496,67960,125280,8440,3280,4704,136,24,64,186760,68064,125408,633.41,642.7,629.86,642.7,2735819.05,58384.91,0.534452125,0.194756812,0.359021975
April,2024,670,502.5,871,1436,641.16,359273,359136,1,169800,66680,122656,19880,6520,12096,32,8,40,171144,67040,123344,633.33,647.96,637.83,647.96,2614601.23,44173.73,0.472621099,0.185597025,0.341400551
May,2024,670,502.5,871,1436,642.07,357902,354696,1,180472,61520,112704,22144,6768,12224,80,16,16,181952,61936,113360,646.37,649.62,645.13,649.62,2586331.45,43627.61,0.504249767,0.171890629,0.314901845
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,median,43037.6,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,mean,36350.31323,,,