Standardized_Date,Month,Year,DateTime,CD (kVA),75% CD (kVA),130% CD (kVA),Connected Load (kW),MD Avg (kVA),Avg_Consumption (kWh),Units_kWh,PF Avg,Z1 (kWh),Z2 (kWh),Z3 (kWh),Z1 kVArh (lag),Z2 kVArh (lag),Z3 kVArh (lag),Z1 kVArh (lead),Z2 kVArh (lead),Z3 kVArh (lead),Z1 (kVAh),Z2 (kVAh),Z3 (kVAh),Z1 (Demand kVA),Z2 (Demand kVA),Z3 (Demand kVA),Max_demand (kVA),Energy Charge (Rs),PF incentive/penalty (Rs),Demand factor,Utilization factor,Load Factor
2021-11-30,November,2021,2021-11-01,670,502.5,871,1436,504.87,254871.0,258056,1.0,132144,49448,76464,8488,3952,6488,80,20,20,132656,49696,76840,514.3,508.13,461.6,514.3,1653743.4,37095.55,0.3581476323119777,0.7676119402985074,0.6968911357400567
2021-12-31,December,2021,2021-12-01,670,502.5,871,1436,505.57,264227.0,284352,1.0,153088,49440,81824,11000,4784,7256,24,8,80,153568,49696,82192,509.18,484.58,471.54,509.18,1802752.4,40875.6,0.3545821727019499,0.7599701492537314,0.75060597114399
2022-01-31,January,2022,2022-01-01,670,502.5,871,1436,505.34,270707.0,278984,1.0,148576,47312,83096,2504,928,1632,2512,984,1648,148720,47368,83216,516.59,502.26,470.5,516.59,1814811.0,0.0,0.3597423398328691,0.7710298507462687,0.7258725384224547
2022-02-28,February,2022,2022-02-01,670,502.5,871,1436,509.56,272721.0,271048,1.0,138040,48896,84112,10424,3184,7800,6,1,2,138536,49048,84544,517.6,514.0,477.5,517.6,1729563.8,38963.15,0.3604456824512535,0.7725373134328358,0.7792605063663796
2022-03-31,March,2022,2022-03-01,670,502.5,871,1436,514.54,277393.0,298664,1.0,157352,51849,89464,11880,3496,8152,40,8,32,157888,51984,89888,518.64,512.15,471.61,518.64,1888178.05,42932.95,0.3611699164345404,0.7740895522388059,0.7740052975607006
2022-04-30,April,2022,2022-04-01,670,502.5,871,1436,514.92,281749.0,299392,1.0,160432,49576,89384,8104,2976,5448,1592,560,1136,160896,49800,89744,513.1,511.47,472.12,513.1,1890310.4,43037.6,0.3573119777158775,0.7658208955223881,0.8104116589791897
2022-05-31,May,2022,2022-05-01,670,502.5,871,1436,515.34,282532.0,262752,1.0,146192,43680,72880,12840,4568,6816,2,1,2,146856,43936,73264,516.0,495.6,467.0,516.0,1681677.4,37770.6,0.3593314763231198,0.7701492537313432,0.684421105276319
2022-06-30,June,2022,2022-06-01,670,502.5,871,1436,512.89,242923.0,256808,1.0,130392,45448,80968,10856,4520,7016,264,32,32,131048,45760,81360,500.0,479.0,482.0,500.0,1670442.48,29859.79,0.3481894150417827,0.746268656716418,0.7133555555555555
2022-07-31,July,2022,2022-07-01,670,502.5,871,1436,509.77,234395.0,227816,1.0,111680,40584,75552,5568,1824,3344,1496,464,1016,112384,40736,75928,497.84,484.8,476.55,497.84,1586531.05,27793.55,0.3466852367688022,0.7430447761194029,0.6150656859136848
2022-08-31,August,2022,2022-08-01,670,502.5,871,1436,505.65,230045.0,244952,0.99,109208,45680,90064,7472,3360,6376,208,96,40,109768,45872,90360,492.08,492.96,474.64,492.96,1683641.02,37355.18,0.3432869080779944,0.7357611940298507,0.6746230545059999
2022-09-30,September,2022,2022-09-01,670,502.5,871,1436,504.95,225967.0,274192,0.99,134064,47608,92520,9888,3520,7832,112,40,16,134552,47768,92896,514.47,485.77,473.17,514.47,1865490.92,41814.28,0.3582660167130919,0.7678656716417911,0.7476994019779151
2022-10-31,October,2022,2022-10-01,670,502.5,871,1436,502.89,226848.0,304680,0.99,149408,55120,100152,11696,4896,8896,56,8,0,149968,55352,100568,500.72,500.16,474.72,500.72,2046339.3,46463.7,0.3486908077994429,0.7473432835820896,0.8261157045617101
2022-11-30,November,2022,2022-11-01,670,502.5,871,1436,501.5,233447.0,302344,1.0,154640,52096,95608,11648,4296,8488,72,8,16,155160,52296,96024,508.56,498.0,479.68,508.56,2034493.94,46107.46,0.3541504178272981,0.759044776119403,0.8257083180396063
2022-12-31,December,2022,2022-12-01,670,502.5,871,1436,505.27,279913.0,325496,1.0,165096,57344,103056,12128,4776,9080,32,0,8,165640,57552,103488,517.04,483.04,474.16,517.04,2178204.46,49638.14,0.3600557103064067,0.7717014925373133,0.8461523743925307
2023-01-31,January,2023,2023-01-01,670,502.5,871,1436,504.25,291908.0,299784,1.0,152736,52960,94088,6400,2408,4456,712,480,696,153008,53072,94296,491.76,477.68,474.08,491.76,2016608.34,45717.06,0.3424512534818941,0.7339701492537313,0.819374255472116
2023-02-28,February,2023,2023-02-01,670,502.5,871,1436,504.29,298419.0,284016,1.0,139408,49480,95128,1600,272,792,2744,1184,2200,139512,49488,95160,493.2,480.72,476.32,493.2,1989731.04,0.0,0.3434540389972145,0.7361194029850746,0.8569400996408296
2023-03-31,March,2023,2023-03-01,670,502.5,871,1436,502.73,307143.0,326536,1.0,166808,55368,104688,7168,2816,6680,1440,608,1392,167096,55946,104688,498.08,505.12,493.6,505.12,2276167.98,49796.74,0.3517548746518106,0.7539104477611941,0.8688875378489854
2023-04-30,April,2023,2023-04-01,670,502.5,871,1436,522.91,315603.0,355440,1.0,173824,63056,118560,11744,4456,9240,120,16,16,174368,63256,118984,609.52,620.72,621.76,621.76,2505844.2,54202.6,0.4329805013927577,0.928,0.7939826728426831
2023-05-31,May,2023,2023-05-01,670,502.5,871,1436,546.37,321336.0,336744,1.0,161552,63216,111976,14624,4408,7848,80,16,16,162408,63432,112312,625.84,649.36,628.64,649.36,2431001.82,51353.46,0.4522005571030641,0.9691940298507464,0.6970138339685328
2023-06-30,June,2023,2023-06-01,670,502.5,871,1436,534.6399999999999,318469.5,346092,1.0,167688,63136,115268,13184,4432,8544,100,16,16,168388,63344,115648,617.6800000000001,635.0400000000002,625.1999999999999,635.56,2468423.01,0.0,0.4425905292479108,0.9485970149253732,0.7563146411563556
2023-07-31,July,2023,2023-07-01,670,502.5,871,1436,592.56,325344.0,312488,1.0,154928,55920,101640,7968,2608,4712,192,56,192,155352,56072,101688,621.2,627.52,619.44,627.52,2265936.14,47654.42,0.436991643454039,0.9365970149253732,0.6693185120604476
2023-08-31,August,2023,2023-08-01,670,502.5,871,1436,619.66,339313.0,367832,1.0,183584,68304,115944,9048,2384,5824,120,80,104,183920,68400,116208,626.59,655.82,622.15,655.82,2634793.46,56094.38,0.4566991643454039,0.9788358208955223,0.7538621107352103
2023-09-30,September,2023,2023-09-01,670,502.5,871,1436,606.1099999999999,332328.5,340160,1.0,169256,62112,108792,8508,2496,5268,156,68,148,169636,62236,108948,623.895,641.6700000000001,620.7950000000001,641.6700000000001,2450364.8,0.0,0.4468454038997215,0.9577164179104478,0.7362732314810485
2023-10-31,October,2023,2023-10-01,670,502.5,871,1436,643.24,333697.0,297184,1.0,143624,53728,99832,6904,2176,4056,1544,624,1856,143952,53832,99976,620.53,641.22,616.82,641.22,2172027.52,45320.56,0.4465320334261839,0.957044776119403,0.6229388668710486
2023-11-30,November,2023,2023-11-01,670,502.5,871,1436,643.54,334636.0,342376,1.0,178008,60728,103640,7920,1680,4392,152,192,128,178264,60792,103848,651.12,647.76,627.12,651.12,2495518.55,52640.31,0.4534261838440111,0.971820895522388,0.730314261921339
2023-12-31,December,2023,2023-12-01,670,502.5,871,1436,639.65,341571.0,378448,1.0,187896,69120,121432,7776,2824,4232,208,128,72,188136,69208,121552,635.07,632.74,625.4,635.07,2724182.9,58186.38,0.4422493036211699,0.9478656716417913,0.800961573789766
2024-01-31,January,2024,2024-01-01,670,502.5,871,1436,640.92,345661.0,337032,1.0,164352,61800,110880,2240,712,824,2504,1984,3000,164520,61848,110928,631.27,635.14,632.66,635.14,2506021.02,0.0,0.4422980501392758,0.9479701492537314,0.7132285795257739
2024-02-29,February,2024,2024-02-01,670,502.5,871,1436,637.44,344175.0,358912,1.0,175224,62472,121216,2680,728,1096,2208,1984,2968,175328,62504,121248,632.08,634.94,630.97,634.94,2652015.32,0.0,0.4421587743732591,0.9476716417910448,0.8121683323141402
2024-03-31,March,2024,2024-03-01,670,502.5,871,1436,640.03,348948.0,379736,1.0,186496,67960,125280,8440,3280,4704,136,24,64,186760,68064,125408,633.41,642.7,629.86,642.7,2735819.05,58384.91,0.4475626740947076,0.9592537313432836,0.7941463349344415
2024-04-30,April,2024,2024-04-01,670,502.5,871,1436,641.16,359273.0,359136,1.0,169800,66680,122656,19880,6520,12096,32,8,40,171144,67040,123344,633.33,647.96,637.83,647.96,2614601.23,44173.73,0.4512256267409471,0.9671044776119404,0.7698006049756158
2024-05-31,May,2024,2024-05-01,670,502.5,871,1436,642.07,357902.0,354696,1.0,180472,61520,112704,22144,6768,12224,80,16,16,181952,61936,113360,646.37,649.62,645.13,649.62,2586331.45,43627.61,0.4523816155988858,0.9695820895522388,0.7338781679810827
